Record ID,Evidence Relevance Tier,Primary Category,Record Type,Title / Dataset,Year,Primary Authors / Source,Institution / Dataset Owner,Modalities / Signals,Interaction Level,Task / Paradigm,Access Status,Dataset / Access URL,Paper / Reference URL,Evidence Role,Relevance to Synchronized Decision-Making,Key Difference vs Proposed ARL Dataset,Priority,Verification Status,Reading Status,Discovery Method,Systematic Review Eligibility,Exclusion Reason,Notes,Source Verified Date
MDMER-0011,Tier 2,Physiological affect datasets,Dataset paper,ASCERTAIN: A Database for Implicit Personality and Affect Recognition,2016,Subramanian et al.,,EEG; ECG; GSR; facial video; personality/self-report,Individual,Affective video viewing,Research access,http://ascertain-dataset.github.io/,https://ieeexplore.ieee.org/document/7740927/,Background Evidence,Adds personality and affect to multimodal physiology.,No group interaction; no decision-making task.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,May need access link verification,
MDMER-0012,Tier 2,Physiological affect datasets,Dataset paper,DREAMER: A Database for Emotion Recognition Through EEG and ECG Signals,2018,Katsigiannis & Ramzan,,EEG; ECG,Individual,Affective audio-visual stimuli,Public/research,https://zenodo.org/record/546113,https://ieeexplore.ieee.org/document/7880584/,Background Evidence,Useful compact EEG+ECG benchmark.,No GSR/EMG/eye/audio interaction.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Good baseline physiology dataset,
MDMER-0013,Tier 2,Physiological affect datasets,Dataset paper,CASE: Continuously Annotated Signals of Emotion Dataset,2019,Sharma et al.,,ECG; BVP; EMG; GSR/EDA; respiration; skin temperature,Individual,Video emotion elicitation,Public,https://springernature.figshare.com/collections/CASE_Dataset/4260668,https://www.nature.com/articles/s41597-019-0209-0,Background Evidence,High-quality synchronized physiological recordings with continuous annotations.,No EEG/eye tracking/group interaction.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Use for annotation and physiology QC,
MDMER-0014,Tier 2,Physiological affect datasets,Dataset paper,WESAD: Wearable Stress and Affect Detection,2018,Schmidt et al.,,ECG; EDA; EMG; respiration; temperature; acceleration,Individual,Stress/affect protocol,Public/research,https://archive.ics.uci.edu/dataset/465/wesad+wearable+stress+and+affect+detection,https://dl.acm.org/doi/10.1145/3242969.3242985,Background Evidence,Important wearable physiological dataset and benchmark.,No EEG/eye/audio/video; no social interaction.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for Shimmer-style feature extraction,
MDMER-0015,Tier 2,Physiological affect datasets,Dataset paper,MAUS: A Multimodal Affective User State Dataset,2019,Kächele et al.,,Physiology; facial behavior; annotations,Individual,Affective user state tasks,Research access,,https://dl.acm.org/doi/10.1145/3340555.3353746,Background Evidence,Relevant for multimodal user state inference.,Less direct to group decision; access/details need review.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Potential related work,
MDMER-0016,Tier 2,Physiological affect datasets,Dataset paper,Affectiva-MIT Facial Expression / emotion datasets,2010,McDuff et al.,,Video/facial expression; sometimes physiology in related work,Individual,Emotion elicitation,Restricted/commercial/research,,https://ieeexplore.ieee.org/document/7744024/,Background Evidence,Useful for affect and facial-video benchmark context.,Not physiological group decision data.,Low,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Optional citation only,
MDMER-0017,Tier 2,EEG emotion datasets,Dataset paper,SEED: A Dataset for Emotion Recognition using EEG,2015,Zheng & Lu,,EEG,Individual,Emotion film clips,Research access,https://bcmi.sjtu.edu.cn/home/seed/,https://ieeexplore.ieee.org/document/7104132/,Modality Comparator,Common EEG emotion benchmark.,No multimodal group interaction.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for EEG feature benchmarks,
MDMER-0018,Tier 2,EEG emotion datasets,Dataset paper,SEED-IV: Multimodal Emotion Dataset with Four Emotion Categories,2018,Zheng et al.,,EEG; eye movement,Individual,Emotion film clips,Research access,https://bcmi.sjtu.edu.cn/home/seed/,https://ieeexplore.ieee.org/document/8373816/,Modality Comparator,EEG + eye movement emotion benchmark.,No social interaction or peripheral physiology.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for EEG-eye comparison,
MDMER-0019,Tier 2,EEG + eye tracking datasets,Dataset paper,Consumer-grade EEG-based Eye Tracking Dataset,2025,Authors TBD,,Consumer EEG; webcam eye tracking,Individual,Eye movement paradigms,Likely public,https://arxiv.org/html/2503.14322v1,https://arxiv.org/html/2503.14322v1,Modality Comparator,Relevant to low-cost EEG + webcam/eye tracking synchronization.,No physiology/group task; details need verification.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Useful if EyeLogic constraints become important,
MDMER-0020,Tier 2,EEG + eye tracking datasets,Dataset paper,"Ocular Activity Dataset: EEG, Eye-tracking, and High-speed Video",2025,Guttmann-Flury et al.,,EEG; eye tracking; high-speed video,Individual,Ocular behavior / mental states,Public,https://pmc.ncbi.nlm.nih.gov/articles/PMC11978869/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11978869/,Modality Comparator,Good multimodal eye/EEG/video reference.,No group decision or physiology.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for ocular artifact handling,
MDMER-0021,Tier 2,Social interaction datasets,Dataset paper,MELD: Multimodal EmotionLines Dataset,2019,Poria et al.,,Text; audio; video,Multi-party,TV-series multi-party conversations,Public,https://affective-meld.github.io/,https://aclanthology.org/P19-1050/,Social/Group Comparator,Important multi-party conversation benchmark.,No physiology; acted/scripted media source.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for dialogue-level modeling,
MDMER-0022,Tier 2,Social interaction datasets,Dataset paper,IEMOCAP: Interactive Emotional Dyadic Motion Capture Database,2008,Busso et al.,,Audio; video; motion capture; text annotations,Dyads,Scripted and spontaneous dialogues,Research access,https://sail.usc.edu/iemocap/,https://www.carlosbusso.com/publications/Busso_2008_5.pdf,Social/Group Comparator,Classic interactive dyadic multimodal emotion dataset.,No physiology; dyadic actors.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for audio/video annotation,
MDMER-0023,Tier 2,Meeting / group interaction,Dataset paper,ICSI Meeting Corpus,2004,Janin et al.,,Multi-channel audio; transcripts,Groups,Meetings,Public/research,http://www1.icsi.berkeley.edu/Speech/mr/,https://www1.icsi.berkeley.edu/Speech/papers/icsi05-meeting-corpus.pdf,Background Evidence,Classic meeting corpus for conversation/speaker interaction.,No physiology/video in main corpus; not decision physiology.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for speech segmentation,
MDMER-0024,Tier 2,Meeting / group interaction,Dataset paper,ELEA Audio-Visual Synchronous Corpus,2012,Sanchez-Cortes et al.,,Audio; video; nonverbal behavior annotations,Small groups,Leadership emergence / group discussion,Research access,,https://dl.acm.org/doi/10.1145/2388676.2388680,Background Evidence,Relevant for small-group behavior and leadership/dominance.,No physiology or deception paradigm.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Useful for social dynamics,
MDMER-0025,Tier 2,Meeting / group interaction,Dataset paper,MPIIGroupInteraction: Multi-person Group Interaction Dataset,2018,Müller et al.,,Video; pose/behavior annotations,Groups,Natural group conversation,Research/public,https://team.inria.fr/robotlearn/the-mpii-group-interaction-dataset/,https://openaccess.thecvf.com/content_cvpr_2018_workshops/w32/html/Muller_Multi-Person_3D_Pose_CVPR_2018_paper.html,Background Evidence,Relevant for group visual behavior analysis.,No physiology/audio focus; not task-controlled.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Optional computer-vision angle,
MDMER-0026,Tier 2,Social interaction datasets,Dataset paper,MatchNMingle: Multi-sensor Social Mingling Dataset,2018,Cabrera-Quiros et al.,,Wearable acceleration; proximity; audio; video annotations,Groups/social event,Free mingling interaction,Research access,,https://dl.acm.org/doi/10.1145/3267305.3274114,Social/Group Comparator,Useful for group social dynamics and wearable sensing.,No EEG/ECG/GSR; not decision task.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Good for social network features,
MDMER-0027,Tier 2,Social interaction datasets,Dataset paper,NOXI Database: Multimodal Natural Human-Computer Interaction,2017,Cafaro et al.,,Audio; video; motion/behavior,Dyads/HCI,Expert-novice interaction,Research access,https://noxi.aria-agent.eu/,https://dl.acm.org/doi/10.1145/3136755.3136759,Social/Group Comparator,Useful for naturalistic interaction and nonverbal cues.,No physiology; not group decision.,Low,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Peripheral relevance,
MDMER-0028,Tier 2,Social interaction datasets,Dataset paper,Aff-Wild: In-the-Wild Affect Recognition Database,2019,Kollias et al.,,Video; audio in related variants; valence/arousal annotations,Individual/video subjects,In-the-wild affect videos,Research access,https://ibug.doc.ic.ac.uk/resources/aff-wild2/,https://link.springer.com/article/10.1007/s11263-019-01158-4,Social/Group Comparator,Useful for video affect benchmark context.,No physiology/group task.,Low,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Not core but recognizable,
MDMER-0029,Tier 2,Social interaction datasets,Dataset paper,AVEC Challenges / Audio-Visual Emotion Challenge Corpora,2016,Valstar/Ringeval et al.,,Audio; video; physiology depending on year,Dyads/individual,Affect/depression/emotion challenge tasks,Research access,https://avec-challenge.org/,https://d-nb.info/1248484878/34,Social/Group Comparator,Useful benchmark family for multimodal affect.,Not tailored to group decision; varies by year.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Cite if benchmarking methods,
MDMER-0030,Tier 2,Affective computing reviews,Review paper,A Survey on Databases for Multimodal Emotion Recognition,2022,Siddiqui et al.,,Review across audio; video; physiology; text,Mixed,Review/taxonomy,Open,https://www.mdpi.com/2414-4088/6/6/47,https://www.mdpi.com/2414-4088/6/6/47,Background Evidence,Good source to map dataset landscape.,Review only; not specific to decision/social deduction.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Can guide expansion beyond 50,
MDMER-0031,Tier 3,Decision/social neuroscience,Review paper,Hyperscanning: A Valid Method to Study Neural Inter-brain Underpinnings of Social Interaction,2020,Czeszumski et al.,,EEG/fNIRS/fMRI hyperscanning methods,Dyads/groups,Social interaction review,Open,https://www.frontiersin.org/articles/10.3389/fnhum.2020.00039/full,https://www.frontiersin.org/articles/10.3389/fnhum.2020.00039/full,Decision-Making Comparator,Foundational hyperscanning methods and analysis reference.,Not a dataset; broader than ARL.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Use in theoretical framing,
MDMER-0032,Tier 3,Decision/social neuroscience,Review paper,Review and Progress on EEG-Based Hyperscanning in Social Interactions,2018,Liu et al.,,EEG hyperscanning,Dyads/groups,Social interaction review,Open,https://pmc.ncbi.nlm.nih.gov/articles/PMC6186988/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6186988/,Decision-Making Comparator,Directly supports multi-person EEG framing.,Not multimodal dataset-specific.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Use for multi-brain rationale,
MDMER-0033,Tier 3,Decision/social neuroscience,Review paper,Cooperation and Competition with Hyperscanning Methods,2017,Balconi & Vanutelli,,EEG/fNIRS hyperscanning,Dyads/groups,Cooperation/competition review,Open,https://www.frontiersin.org/articles/10.3389/fncom.2017.00086/full,https://www.frontiersin.org/articles/10.3389/fncom.2017.00086/full,Decision-Making Comparator,Relevant to cooperation/competition dynamics in spy game.,Review only; no ARL-like multimodal release.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for discussion,
MDMER-0034,Tier 3,Decision/social neuroscience,Research paper,Cortical Activity and Connectivity During Prisoner's Dilemma: An EEG Hyperscanning Study,2007,Babiloni et al.,,EEG hyperscanning,Multiple participants,Prisoner's dilemma,Publication only,,https://pubmed.ncbi.nlm.nih.gov/18003118/,Decision-Making Comparator,Classic EEG hyperscanning decision-making study.,Not public multimodal dataset; no multimodal signals.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Conceptually important,
MDMER-0035,Tier 3,Decision/social neuroscience,Dataset paper,EEG-BIDS Three-Person Hyperscanning Prisoner's Dilemma Dataset,2026,OpenNeuro ds007822,,EEG; behavioral data,Three-person groups/triads,Prisoner's dilemma,Public,https://openneuro.org/datasets/ds007822/versions/1.0.0,https://openneuro.org/datasets/ds007822/versions/1.0.0,Decision-Making Comparator,Very close on group decision + EEG hyperscanning.,No multimodal physiology/audio/video/eye tracking; 3 not 5 people.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Important ARL comparison,
MDMER-0036,Tier 3,Decision/social neuroscience,Research paper,EEG Hyperscanning Reveals Dynamic Interbrain Network Reorganization During Social Decision-Making,2026,Li et al.,,EEG hyperscanning,Dyads/groups depending task,Social decision-making,Publication only,,https://www.nature.com/articles/s42003-026-09852-z,Decision-Making Comparator,Recent social decision EEG hyperscanning paper.,Not dataset/platform-focused; exact access to data uncertain.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Modern theoretical reference,
MDMER-0037,Tier 3,Decision/social neuroscience,Dataset paper,An EEG Dataset of Neural Signatures in a Competitive Two-Player Card Game,2024,Chen et al.,,EEG; behavioral data,Two-player,Competitive card game / deception,Public/Scientific Data,https://www.nature.com/articles/s41597-024-03234-y,https://www.nature.com/articles/s41597-024-03234-y,Decision-Making Comparator,Highly relevant deception/competition EEG dataset.,Dyadic; no ECG/GSR/EMG/eye/audio/video group capture.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Strong ARL novelty comparison,
MDMER-0038,Tier 3,Decision/social neuroscience,Dataset paper,IllusionGameEEG Dataset,2023,OpenNeuro ds004587,,EEG; physiological; behavioral data,Individual,Illusion/game-like cognitive task,Public,https://openneuro.org/datasets/ds004587/versions/1.0.0,https://openneuro.org/datasets/ds004587/versions/1.0.0,Decision-Making Comparator,EEG + physiology + behavioral data in game-like task.,No group interaction/social deduction.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Potential methods comparison,
MDMER-0039,Tier 3,Decision/social neuroscience,Research paper,Neural Decoding of Competitive Decision-Making in Rock–Paper–Scissors,2025,Moerel et al.,,EEG hyperscanning,Dyads,Competitive Rock-Paper-Scissors,Publication only,,https://boa.unimib.it/retrieve/77d8308f-f97c-4d5d-ad41-f4b1967f573c/Moerel%20et%20al-2025-Social%20Cognitive%20and%20Affective%20Neuroscience-VoR.pdf,Decision-Making Comparator,Recent competitive decision EEG hyperscanning reference.,No full multimodal dataset; dyads only.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for classifier framing,
MDMER-0040,Tier 3,Decision/social neuroscience,Theory/review paper,Dual-Process and Decision-Making Under Uncertainty Literature Anchor,2009,Evans / Stanovich / Kahneman line,,Behavioral/cognitive theory,Individual/social,"Uncertainty, reasoning, intuition/control",Publication only,,https://www.annualreviews.org/content/journals/10.1146/annurev-psych-122216-011832,Decision-Making Comparator,Needed theoretical anchor for ARL reasoning/confidence.,Not dataset or physiology.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Replace with exact preferred paper later,
MDMER-0041,Tier 3,Deception/social deduction,Dataset paper,Box of Lies: Multimodal Deception Detection in Dialogues,2019,Soldner et al.,,Dialogue; audio; video; nonverbal/verbal features,Dyads,Deception dialogue game,Data on request,https://web.eecs.umich.edu/~mihalcea/papers/soldner.naacl19.pdf,https://web.eecs.umich.edu/~mihalcea/papers/soldner.naacl19.pdf,Decision-Making Comparator,Very relevant multimodal deception-in-dialogue dataset.,No physiology; dyadic; smaller controlled game.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Important for deception section,
MDMER-0042,Tier 3,Deception/social deduction,Dataset paper,Bag-of-Lies: Multimodal Dataset for Deception Detection,2019,Gupta et al.,,EEG; video; audio?; behavioral/questionnaire depending release,Individual/dyadic,Casual deception scenarios,Research access,https://paperswithcode.com/dataset/bag-of-lies,https://ieeexplore.ieee.org/document/8901672/,Decision-Making Comparator,Relevant because deception plus EEG appears together.,Need verify modalities/access; not group social deduction.,High,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Very important if accessible,
MDMER-0043,Tier 3,Deception/social deduction,Dataset paper,EEG Dataset for Lie Detection Based on EEG Signals and Wavelets,2024,Mendeley Data,,EEG from Emotiv Insight,Individual,Lie/truth-telling bead-box task,Public,https://data.mendeley.com/datasets/5gzxb2bzs2,https://data.mendeley.com/datasets/5gzxb2bzs2,Decision-Making Comparator,Useful because ARL uses Emotiv Insight and deception-relevant task.,No group interaction/multimodal physiology.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Good methods pilot reference,
MDMER-0044,Tier 3,Deception/social deduction,Research paper,Werewolf Among Us: Multimodal Resources for Social Deduction,2023,Lai et al.,,Video; dialogue/text; game logs,Groups,One Night Ultimate Werewolf / Among Us,Research/public depending subset,,https://aclanthology.org/2023.findings-acl.411.pdf,Decision-Making Comparator,Closest social deduction/gameplay reference.,No physiology; sourced from videos/games not lab acquisition.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Important conceptual citation,
MDMER-0045,Tier 3,Deception/social deduction,Research paper,Finding Deceivers in Social Context with Large Language Models,2024,Yoo et al.,,Conversation/text; game context,Groups,Mafia/social deduction,Publication/data uncertain,,https://www.nature.com/articles/s41598-024-81997-5,Decision-Making Comparator,Directly relevant to social-context deceiver detection.,No physiology/acquisition platform.,Medium,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Good AI arbitration link,
MDMER-0046,Tier 3,Deception/social deduction,Dataset paper,Diplomacy / Deception in Negotiation Dataset,2020,Peskov et al.,,Text dialogue; game logs,Groups/players,Diplomacy negotiation and deception,Public/research,https://sites.google.com/view/qanta/projects/diplomacy,https://aclanthology.org/2020.acl-main.353/,Decision-Making Comparator,Useful for deception and strategic communication modeling.,Text-only; no sensor data.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Useful for language features,
MDMER-0047,Tier 3,Deception/social deduction,Dataset paper,Bayesian Social Deduction with Graph-Informed Language Models Dataset,2025,Rahimirad et al.,,Game logs; language; agents/humans,Groups,Avalon social deduction,Public,https://huggingface.co/datasets/shahabrahimirad/bayesian-social-deduction,https://huggingface.co/datasets/shahabrahimirad/bayesian-social-deduction,Decision-Making Comparator,Recent social deduction dataset with strategic communication.,No physiology; AI/game-log focus.,Low,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Useful only for AI/deception framing,
MDMER-0048,Tier 3,Deception/social deduction,Research paper,Evaluating LLMs in Social Deduction Games with Human Multimodal Werewolf Data,2026,Authors TBD,,Video; utterances; rule variants,Groups,Werewolf/social deduction,Publication/data uncertain,,https://arxiv.org/html/2510.11389v1,Decision-Making Comparator,Very relevant emerging multimodal social-deduction direction.,Likely no physiology; needs verification due preprint status.,Medium,Legacy entry — re-verification required,To verify,Existing ARL literature,Pending,,Recent field direction,
MDMER-0049,Tier 4,Acquisition/synchronization,Software/tool paper,EYE-EEG: Synchronization and Analysis of Eye Tracking and EEG Data,2014,Dimigen et al.,,EEG; eye tracking synchronization/software,Individual,EEG-eye co-registration,Open software/resources,https://www.eyetracking-eeg.org/,https://link.springer.com/article/10.3758/s13428-013-0429-3,Background Evidence,Important for ARL EEG + EyeLogic preprocessing strategy.,Not group/multimodal physiology beyond EEG-eye.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Useful for preprocessing pipeline,
MDMER-0050,Tier 4,Acquisition/synchronization,Standard/spec paper,Brain Imaging Data Structure (BIDS) and Extensions for EEG/iEEG/physiology,2016,Gorgolewski et al. / BIDS community,,Data standard / metadata,Any,Neuroimaging data organization,Open,https://bids.neuroimaging.io/,https://www.nature.com/articles/sdata201644,Background Evidence,Important for ARL dataset organization and metadata standardization.,Not a dataset; ARL may need BIDS-inspired not fully BIDS.,High,Legacy entry — re-verification required,Not read,Existing ARL literature,Pending,,Must consider for Scientific Data release,
MDMER-0051,Tier 1,Core multimodal datasets,Dataset paper,CogniModal-D: Multimodal Machine Learning for Deception Detection Using Behavioral and Physiological Data,2025,Joshi et al.,,EEG; ECG; EOG; gaze; GSR; audio; video,Individual,Social-relationship and mock-crime deception tasks,Public/academic,,https://www.nature.com/articles/s41598-025-92399-6,Direct comparator,Seven modalities plus deception; one of the closest sensing comparators to ARL.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0052,Tier 1,Core multimodal datasets,Dataset paper,CoSuBio: Confidence and Success Dataset Based on Multimodal Biosignals,2026,Deniz & Akbulut,,EEG; EDA; BVP; temperature; accelerometer; limited facial video,Individual,Confidence manipulation; decision and cognitive tasks,Public,,https://doi.org/10.1016/j.dib.2026.112579,Decision-making comparator,Directly relevant to confidence measurement and decision behavior.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0053,Tier 4,Core multimodal datasets,Dataset paper,"The Brain, Body, and Behavior Dataset (BBBD): Multimodal Recordings during Educational Videos",2026,Madsen et al.,,EEG; EOG; ECG; respiration; pupil; gaze; head motion,Individual,Educational video viewing,Public,,https://www.nature.com/articles/s41597-026-07215-1,Modality comparator,Excellent multimodal synchronization and BIDS reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
