Audit #,Comparator / Study,Evidence Type,Participants / Interaction,Primary Task / Paradigm,EEG,ECG / PPG / HR,EDA / GSR,EMG,Eye Tracking,Audio,Video,Interactive?,Decision-Making?,Confidence / Self-report,Deception / Strategic Misinfo?,Repeated / Multi-round?,Synchronization / Alignment,Public Data?,Closest ARL Overlap,Critical Difference vs Proposed ARL,Verification Status,Primary Source URL,Data / Access URL
11,Deception_data (OpenNeuro/NEMAR ds004511),Dataset,45; individual task sessions,"Deception, gambling/cooperation and cognitive-control tasks",Yes,Keywords/aux physiology reported,GSR keyword/auxiliary,EMG keyword/auxiliary,No,No,No,No,Yes,Behavioral outcomes,Yes,Multiple tasks/sessions,BIDS-organized EEG/behavioral recordings; event structure,Public CC0,Deception + decision-making + EEG; peripheral physiology metadata,No simultaneous group interaction/audio/video/eye tracking; physiology release needs channel-level confirmation,Repository verified; physiology details need channel audit,https://doi.org/10.82901/nemar.on004511,https://doi.org/10.18112/openneuro.ds004511.v1.0.2
12,Werewolf Among Us,Dataset / paper,Multi-player naturalistic game videos; 199 dialogues,One Night Ultimate Werewolf + The Resistance: Avalon,No,No,No,No,No,Dialogue transcripts,Yes,Yes,Yes; voting outcomes captured,Persuasion-strategy annotations,Yes / social deduction,Yes at game/utterance level,Video/dialogue aligned at utterance/game level; not physiological synchronization,Public/research,Closest social-deduction + multimodal behavioral + voting comparator,No physiological/neural sensing; source videos rather than controlled synchronized biosignal acquisition,Primary-source verified,https://aclanthology.org/2023.findings-acl.411/,https://github.com/SALT-NLP/PersuationGames
13,Stasser & Titus hidden-profile paradigm,Foundational experiment,4-member groups; 156 participants across conditions,Political-caucus candidate selection with shared/unshared information,No,No,No,No,No,Discussion behavior,No,Yes,Yes; group selection,Pre/post discussion preferences/recall,No,Single decision per experimental group,Behavioral experimental timing; no multimodal sync,No public dataset known,Foundational model for information pooling and hidden-profile group decisions,"No physiological sensing, repeated rounds, deception role or confidence ratings",Primary-source verified,https://doi.org/10.1037/0022-3514.48.6.1467,
14,Optimally Interacting Minds,Foundational experiment,Dyads,Joint perceptual decision-making with confidence communication,No,No,No,No,No,Verbal confidence communication,No,Yes,Yes,Confidence is central to collective decision rule,No,Repeated perceptual trials,Behavioral trial synchronization,No public dataset known,Core evidence that confidence sharing shapes collective decisions,No physiology or multi-person group; perceptual dyads rather than social deduction,Primary-source verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC3371582/,
15,King-Casas et al. multiround Trust Game,Experimental study,Dyadic economic exchange,Multiround trust/reciprocity game,No,No,No,No,No,No,No,Yes,Yes,Behavioral trust/reciprocity; no explicit confidence,"Strategic trust, not deception label",Yes,Round-based behavioral/fMRI timing,No public dataset established,Repeated interpersonal decisions with belief/reputation updating,"fMRI rather than wearable multimodal physiology; dyad, no audio/video discussion",Primary-source verified,https://pubmed.ncbi.nlm.nih.gov/15802598/,
16,Sanfey et al. Ultimatum Game,Experimental study,Responder interacting with proposer offers,Accept/reject fair and unfair monetary offers,No,No,No,No,No,No,No,Social but not live conversational interaction,Yes,No explicit confidence,No,Repeated offers/trials,Event-related fMRI task timing,No public dataset established,Canonical social conflict/fairness decision paradigm,"No physiological multimodality, group conversation, deception or confidence",Primary-source verified,https://pubmed.ncbi.nlm.nih.gov/12805551/,
17,Dumas et al. Inter-Brain Synchronization during Social Interaction,Experimental study,18; 9 dyads,Spontaneous hand-movement imitation with turn-taking,Dual EEG,No,No,No,No,No,Dual video,Yes,No explicit decision task,No,No,Continuous turn-taking interaction,Dual EEG + dual-video simultaneous setup,Article open; dataset not established,EEG hyperscanning + natural reciprocal interaction,No decision/vote/confidence/deception or peripheral physiology,Primary-source verified,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012166,
18,"Cui, Bryant & Reiss — NIRS hyperscanning during cooperation",Experimental study,Dyads,Cooperative task with simultaneous fNIRS,No (fNIRS),No,No,No,No,No,No,Yes,Cooperative task decisions/actions,No,No,Repeated cooperative trials,Simultaneous two-person fNIRS hyperscanning,No public dataset established,Interpersonal neural synchrony during cooperation,Different neural modality; no ARL physiology/audio/video/eye; not social deduction,Source verified,https://doi.org/10.1016/j.neuroimage.2011.09.003,
19,Jiang et al. Neural Synchronization during Face-to-Face Communication,Experimental study,Dyads,Face-to-face vs back-to-back dialogue/monologue,No (fNIRS),No,No,No,No,Speech/dialogue,No reported as dataset,Yes,No explicit decision,No,No,Condition-based dialogue,Simultaneous hyperscanning,No public dataset established,Natural face-to-face communication + inter-brain synchronization,No decision/voting/deception and no multimodal physiology,Primary-source verified,https://pure.mpg.de/rest/items/item_1837863_1/component/file_1837862/content,
20,De Vico Fallani et al. — Iterated Prisoner's Dilemma EEG hyperscanning,Experimental study,52; 26 dyads,≥200 rounds of cooperate/defect decisions,"Dual 64-ch EEG, 200 Hz",No,No,No,No,No,No,Yes,Yes,No explicit confidence,Strategic defection,"Yes, highly repeated",Two simultaneous EEG systems; trial outcomes/event timing stored,Article open; dataset not established,Very strong repeated social-decision + EEG hyperscanning comparator,Dyads only; no peripheral physiology/eye/audio/video; no confidence or hidden-role social deduction,Primary-source verified,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0014187,
21,Electrophysiological Hyperscanning of Negotiation During Group-Oriented Decision-Making,Experimental study,26; 13 dyads,3-min negotiation toward shared group-oriented decision,EEG hyperscanning,No,No,No,No,Conversation,No,Yes,Yes,Group-orientation Likert measure,No,Single negotiation episode,Simultaneous EEG hyperscanning,Open article,EEG + live negotiation + shared decision,"Dyads; EEG-only sensing; no repeated rounds, confidence, deception or behavioral AV capture",Primary-source verified,https://doi.org/10.3390/app15116073,
22,Ideal Versus Real Group Mental Representations During Communicative Exchange,Experimental study,28; 14 dyads,Discuss group decisions under ideal vs real group representation,EEG,HRV + biofeedback,No reported,No,No,Conversation,No,Yes,Yes,Self-representation/condition measures,No,Two phases,EEG + fNIRS + autonomic hyperscanning,Article source verified,Neural + autonomic dyadic decision communication,Dyad and no broad sensor stack/eye/audio-video release/deception/repeated vote-confidence structure,Primary-source verified,https://pubmed.ncbi.nlm.nih.gov/41711421/,
23,Mønster et al. Physiological evidence of interpersonal dynamics,Experimental study,153; teams of 3,Origami-boat cooperative production across five 4-min periods,No,Heart rate,Skin conductance,Corrugator facial EMG,No,Behavioral interaction,Facial behavior/smiling measures,Yes,Team routine-adoption decision,Cohesion/affect measures,No,"Yes, five production periods",Concurrent team physiological recordings; synchrony analysis,Data availability not established,3-person simultaneous physiology including EDA + facial EMG + team decision/change,No EEG/eye tracking/audio; production task rather than social inference/deception,Primary-source verified,https://doi.org/10.1016/j.physbeh.2016.01.004,
24,Algumaei et al. Three-Member Collaborative Tank Battle,Experimental study,Three-member teams,Collaborative computer-based Tank Battle task,No,Polar H10 IBI/HRV,No,No,No,Role communication inherent in task,No,Yes,Team operational decisions/actions,NASA-TLX incl. frustration,No,Multiple trials,Custom app starts/stops 3 Polar H10 streams; trial start/end used for synchronization,Available on reasonable request,Three-person collaborative task + synchronized physiology + performance,Only cardiac physiology; no EEG/GSR/EMG/eye/AV; no deception/confidence voting,Primary-source verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC9960820/,
25,CASE,Dataset,30; individual,Emotion-video viewing with continuous joystick annotation,No,ECG + BVP,GSR,3 EMG channels,No,No,No,No,No,Continuous valence/arousal,No,Repeated video stimuli,Eight physiological channels synchronized at 1000 Hz with continuous annotation,Public,High-quality ECG+GSR+EMG synchronization and continuous behavioral annotation,No EEG/eye/audio/video/group interaction or decision-making,Primary-source verified,https://www.nature.com/articles/s41597-019-0209-0,https://springernature.figshare.com/collections/CASE_Dataset/4260668
26,ASCERTAIN,Dataset,58; individual,36 affective movie clips,Single-channel EEG,3-ch ECG,GSR,No,No,No,Facial landmarks / face response,No,No,Emotion + Big Five self-ratings,No,Repeated clips,"EEG, ECG, GSR and facial activity recorded synchronously",Public/research access,EEG + ECG + GSR + facial behavior in one synchronized dataset,Individual passive viewing; no eye tracking/audio/group decision/deception/EMG,Primary-source verified,https://doi.org/10.1109/TAFFC.2016.2625250,https://ascertain-dataset.github.io/
27,DREAMER,Dataset,23; individual,Audio-visual affect elicitation,Yes,ECG,No,No,No,No,No,No,No,Valence/arousal/dominance self-assessment,No,Repeated stimuli,EEG and ECG recorded simultaneously from wireless low-cost devices,Public/research,Compact synchronized EEG+ECG affect dataset,"No peripheral breadth, eye/audio/video release, social interaction or decisions",Primary-source verified,https://doi.org/10.1109/JBHI.2017.2688239,https://zenodo.org/record/546113
28,WESAD,Dataset,15; individual,"Baseline, amusement and Trier Social Stress Test",No,ECG + BVP,EDA,EMG,No,No,No,No,No,PANAS and other questionnaires,No,Multiple protocol phases,Chest and wrist streams synchronized in released dataset,Public,Strong ECG+EDA+EMG wearable physiology benchmark,"No EEG/eye/audio/video, interpersonal interaction, decision structure or deception",Primary-source verified,https://dl.acm.org/doi/10.1145/3242969.3242985,https://ubicomp.eti.uni-siegen.de/home/datasets/icmi18/
29,SWELL-KW,Dataset,25; individual,Knowledge work under time pressure and email interruptions,No,Heart rate / HRV,Skin conductance,No,No,No,Face camera + Kinect posture,No,Task choices only,"NASA-TLX, effort, emotion, perceived stress",No,Multiple work blocks,"Multimodal computer, camera, posture and physiology streams recorded in same experiment",Public,Physiology + behavioral sensing + work-task stress + rich annotations,Individual office-work setting; no EEG/eye/audio/group interaction or social decisions,Primary-source verified,https://doi.org/10.1145/2663204.2663257,https://doi.org/10.17026/dans-x55-69zp
30,CLAS,Dataset,62; individual,Three interactive tasks + two perceptive tasks for load/affect/stress,No reported in released core description,ECG + PPG,EDA,No,No,No,No,"Interactive HCI tasks, not interpersonal",Task performance,Metadata / state labels,No,Multiple tasks,Physiological streams explicitly synchronized,Public,Interactive-task physiology with synchronized ECG/PPG/EDA,No EEG/eye/audio/video/group interaction/deception/confidence-voting structure,Primary-source verified,https://doi.org/10.1109/BIA48344.2019.8967457,https://data.mendeley.com/datasets/8hm59ryzb8/1
31,UBFC-Phys,Dataset,56; individual with experimenter present,"Rest, speech and arithmetic social-stress tasks",No,BVP,EDA,No,No,No,RGB video,Limited interpersonal context,No,Pre/post anxiety and self-confidence,No,Three tasks,"Task-specific video, BVP and EDA files aligned by session/task",Public,Video + BVP + EDA + self-confidence during social stress,No EEG/ECG/EMG/eye/audio or peer group decision-making,Primary-source verified,https://doi.org/10.1109/TAFFC.2021.3056960,https://search-data.ubfc.fr/imvia/FR-18008901306731-2022-05-05_UBFC-Phys-A-Multimodal-Dataset-For.html
32,DECAF,Dataset,30; individual,Music-video and movie affect elicitation,MEG (not EEG),ECG,No reported,Trapezius EMG,No,No,Near-infrared face video,No,No,Valence/arousal/dominance + continuous annotations subset,No,Repeated stimuli,"MEG, hEOG, ECG, tEMG and NIR video synchronously recorded",Research access,Broad synchronized neural + ECG + EMG + face sensing,MEG not EEG; no EDA/eye/audio/social interaction/decision-making/deception,Primary-source verified,https://doi.org/10.1109/TAFFC.2015.2392932,https://iris.unitn.it/handle/11572/98185
33,BioVid Heat Pain Database,Dataset,90 collected; 87 in commonly used Part A,Repeated controlled heat-pain stimuli,No,ECG,EDA / SCL,EMG,No,No,Video,No,No,Pain intensity / stimulus labels,No,Repeated trials,Video and biopotential signals recorded in same controlled trials,Research access,ECG + EDA + EMG + video synchronized across repeated trials,No EEG/eye/audio/group interaction/decision-making or deception,Primary-source verified,https://doi.org/10.1109/CYBConf.2013.6617456,
34,SEWA DB,Dataset,398 people; dyadic video-chat subset,Watch adverts then discuss them in video chat,No,No,No,No,No,Yes,Yes,Yes — dyadic video chat,"Discussion/opinion exchange, not formal decision task",Continuous valence/arousal/liking/agreement,No,Multiple contexts,Audio-visual streams time-aligned with annotations,Research access,Large cross-cultural dyadic audiovisual interaction resource,"No physiology/neural sensing, eye tracking, structured decisions or deception",Primary-source verified,https://arxiv.org/abs/1901.02839,http://db.sewaproject.eu/
35,AMI Meeting Corpus,Dataset,Multi-party meetings; ~100 h corpus,Scenario-driven and real meetings,No,No,No,No,No,Multi-microphone,Multi-camera,Yes,Meeting decisions/discussion occur but not standardized physiological decisions,"Dialogue acts, summaries and meeting annotations",No,Long meetings / multiple sessions,Instrumented-room synchronized multimedia recording,Public/research,Rich multi-person audio/video meeting capture and annotations,"No physiology/neural sensing, eye tracking, confidence or controlled social-deception paradigm",Primary-source verified,https://doi.org/10.1007/11677482_3,https://groups.inf.ed.ac.uk/ami/corpus/
36,ICSI Meeting Corpus,Dataset,75 meetings; 53 speakers; 3–10 participants,Natural research-group meetings,No,No,No,No,No,Head-worn + tabletop microphones,No core video release,Yes,Natural meeting decisions only,Word transcripts + metadata,No,Long natural meetings,Simultaneous multi-microphone recording with word-level transcripts,Research/LDC access,Natural multi-party spoken interaction with strong per-speaker audio capture,No physiology/video/eye tracking or controlled decision/deception protocol,Primary-source verified,https://doi.org/10.1109/ICASSP.2003.1198793,https://groups.inf.ed.ac.uk/ami/icsi/
37,ELEA,Dataset,Small newly formed groups; up to 6-person audio setup,Winter survival group-decision task,No,No,No,No,No,Yes,Yes,Yes,Yes — group survival ranking/decision,Leadership/personality + performance,No,Group meeting episode,Synchronized audio-visual corpus,Restricted/research,Small-group decision discussion + audio/video + outcome measures,"No physiological/neural sensing, eye tracking, confidence or deception",Primary-source verified,https://publications.idiap.ch/index.php/publications/show/2196,https://zenodo.org/records/4573018
38,MatchNMingle,Dataset,92; dyads and free-standing groups,Speed dates followed by cocktail/mingle interaction,No,No,No,No,No,Wearable audio / conversational signals,Overhead video,Yes,"Speed-date preference responses, not repeated formal decisions",Personality + attraction responses + social-action annotations,No,Long continuous interaction,Wearable acceleration/proximity and overhead video/audio recorded concurrently,Research access,Large real-world group dynamics + wearable proximity/motion + audio/video,"No physiology/neural sensing, controlled decision rounds, confidence or deception",Primary-source verified,https://hhung.github.io/MatchNMingle.pdf,
39,NoXi,Dataset,Dyads,Screen-mediated novice-expert information exchange/retrieval,No,No,No,No,No,Yes,Yes,Yes,No formal decision task,Engagement/interest/fluidity + dialogue acts,No,Long interaction,Synchronized audio-visual data with continuous/discrete annotations,Public/research,Natural information exchange + synchronized audiovisual social signals,"No physiological/neural sensing, group size >2, confidence, voting or deception",Primary-source verified,https://doi.org/10.1145/3136755.3136780,https://multimediate-challenge.org/datasets/Dataset_NoXi/
40,MELD,Dataset,Multi-party TV conversations,Emotion recognition in scripted multiparty dialogue,No,No,No,No,No,Yes,Yes,Multiparty conversational content,No formal research decision task,Emotion + sentiment per utterance,No,Many dialogues,Audio/video/text aligned at utterance timestamps,Public,Large multiparty audio-video-text corpus with turn-level alignment,Not experimentally collected physiology; scripted TV dialogue; no decision/deception ground truth,Primary-source verified,https://doi.org/10.18653/v1/P19-1050,https://affective-meld.github.io/
41,MPIIGroupInteraction,Dataset,Small-group discussions,"Natural group discussions used for backchannels, agreement, eye contact, next-speaker and engagement tasks",No,No,No,No,No,Yes,Yes,Yes,"Agreement behavior, not controlled decision task",Behavioral engagement/agreement annotations,No,Group conversation,Original videos with synchronized multimodal annotations/features,Research/public challenge access,Natural multiparty group behavior with fine-grained social annotations,No physiology/neural sensing or controlled decision/confidence/deception structure,Repository/challenge source verified,https://multimediate-challenge.org/Dataset/,https://multimediate-challenge.org/Dataset/
42,EEGEyeNet,Dataset,356; individual,Three eye-movement paradigms,Yes,No,No,No,Yes,No,No,No,No,No,No,Multiple paradigms,Simultaneous EEG and eye tracking,Public,Large-scale simultaneous EEG + eye-tracking benchmark,No peripheral physiology/audio/video/social interaction or decision-making,Primary-source verified,https://arxiv.org/abs/2111.05100,https://github.com/ardkastrati/EEGEyeNet
43,EYE-EEG,Methods / toolbox,Any simultaneous EEG+eye dataset,Co-registration and integrated EEG/eye analysis,Yes,No,No,No,Yes,No,No,N/A,N/A,N/A,No,N/A,Supports synchronization with millisecond precision; imports eye data as EEG channels/events,Open source,Directly relevant to ARL EEG + eye-tracking synchronization/analysis,Not a dataset or decision paradigm; infrastructure only,Primary-source verified,https://github.com/olafdimigen/eye-eeg,https://www.eyetracking-eeg.org/
44,A Uniform Human Multimodal Dataset for Emotion Perception and Judgment,Dataset,97 EEG; 19 fMRI; 16 single-neuron patients; 24 eye tracking + other cohorts,Common facial-emotion perception/judgment task across modalities,Yes,No,No,No,Yes,No,No,No,Yes — emotion judgment,Behavioral judgments,No,Repeated trials,Common task structure across modality-specific cohorts rather than same-person simultaneous all-modality recording,Public/research,EEG + eye-tracking + decision/judgment framework with harmonized task,Modalities largely across different participant cohorts; no social/group interaction or peripheral physiology,Primary-source verified,https://www.nature.com/articles/s41597-023-02693-z,
45,MMASH,Dataset,22 healthy young men; individual free-living,"24-h activity, sleep, stress and mood monitoring",No,Beat-to-beat HR / IBI,No,No,No,No,No,No,No,"PANAS, DSI, STAI, sleep/psychological questionnaires",No,Continuous 24 h,Continuous wearable HR + actigraphy with time-stamped diary/questionnaire data,Public,Long-duration wearable physiology + psychological context,No multimodal neural/EDA/EMG/eye/audio/video or interaction/decision task,Primary-source verified,https://www.mdpi.com/2306-5729/5/4/91,https://physionet.org/content/mmash/1.0.0/
46,Cavanagh & Frank — Frontal theta as a mechanism for cognitive control,Review / theory,Not a dataset,Review of midfrontal theta across conflict/control tasks,EEG/theta focus,No,No,No,No,No,No,No,Decision conflict/control evidence,No,No,Across many paradigms,N/A — theoretical synthesis,Open article,Core theoretical support for frontal theta as conflict/control marker,Does not establish a multimodal or social-decision dataset,Primary-source verified,https://doi.org/10.1016/j.tics.2014.04.012,https://pmc.ncbi.nlm.nih.gov/articles/PMC4112145/
47,Bang et al. — Does interaction matter?,Experimental study,Dyads,Collective perceptual decisions with confidence sharing,No,No,No,No,No,Verbal interaction in interactive condition,No,Yes,Yes,Explicit confidence central to task,No,Repeated perceptual trials,Trial-level behavioral synchronization,Article open,Direct evidence for confidence sharing during collective decisions,No physiological sensing; dyadic perceptual task rather than group social deduction,Primary-source verified,https://doi.org/10.1016/j.concog.2014.02.002,https://pmc.ncbi.nlm.nih.gov/articles/PMC4029078/
48,Stasser & Stewart — Discovery of Hidden Profiles,Experimental study,Face-to-face groups,Murder-mystery hidden-profile discussion,No,No,No,No,No,Discussion,No,Yes,Yes,Pre-discussion preferences / final group choice,"Strategic information distribution, not deception role",Single group decision,"Behavioral discussion coding, no multimodal synchronization",No public dataset known,Very close conceptual match to information pooling under distributed evidence,"No physiology/neural sensing, confidence, repeated rounds or hidden-role deception",Primary-source verified,https://doi.org/10.1037/0022-3514.63.3.426,
49,Action-based confidence sharing and collective decision making,Experimental study,"Groups of 2, 3 and 4",Movement-based consensus decisions under uncertainty,No,No,No,No,No,No,Movement trajectories,Yes,Yes,Confidence inferred/expressed through action trajectories,No,Repeated decisions,Shared movement/task timing,Open article,Group sizes up to 4 + collective decisions + confidence communication,"No physiology/neural sensing, audio/video social discussion or deception",Primary-source verified,https://doi.org/10.1016/j.isci.2024.111006,
50,Palumbo et al. — Interpersonal Autonomic Physiology,Systematic review,Two or more people across reviewed studies,Systematic review of physiological synchrony in social contexts,Various across literature,Autonomic measures,EDA represented,Various,No focus,Various,Various,Yes — field-level evidence,Mixed,Mixed psychosocial measures,Mixed,Mixed,Review of continuous interpersonal autonomic dynamics and synchrony methodologies,Article/review,"Shows multi-person autonomic synchrony is an established field, not itself novel",Does not provide ARL-like multimodal decision dataset; mainly framework/methodological context,Primary-source verified,https://doi.org/10.1177/1088868316628405,https://pubmed.ncbi.nlm.nih.gov/26921410/
